date,product_id,price,is_promo,is_stockout,units_sold,revenue,margin
2025-01-29,1,945.43,0,0,17,16072.26,5989.9
2025-01-30,1,944.52,0,0,17,16056.82,5974.46
2025-01-31,1,945.74,0,0,18,17023.41,6347.97
2025-02-01,1,944.66,0,0,16,15114.57,5625.29
2025-02-02,1,944.23,0,0,16,15107.7,5618.42
2025-02-03,1,944.62,0,0,26,24560.23,9140.15
2025-02-04,1,943.31,0,0,12,11319.77,4202.81
2025-02-05,1,942.97,0,0,22,20745.33,7697.57
2025-02-06,1,942.39,0,0,21,19790.13,7335.45
2025-02-07,1,942.42,0,0,19,17905.9,6637.38
2025-02-08,1,942.33,1,0,30,28269.78,10477.38
2025-02-09,1,942.5,0,0,15,14137.48,5241.28
2025-02-10,1,943.77,0,0,18,16987.89,6312.45
2025-02-11,1,940.78,0,0,14,13170.93,4867.81
2025-02-12,1,942.25,0,0,24,22613.92,8380.0
2025-02-13,1,941.3,0,0,24,22591.28,8357.36
2025-02-14,1,941.16,0,0,26,24470.05,9049.97
2025-02-15,1,939.53,0,0,23,21609.23,7968.39
2025-02-16,1,939.98,0,0,23,21619.62,7978.78
2025-02-17,1,938.18,0,0,13,12196.32,4486.28
2025-02-18,1,938.64,0,0,24,22527.24,8293.32
2025-02-19,1,940.86,0,0,23,21639.85,7999.01
2025-02-20,1,940.56,0,0,21,19751.75,7297.07
2025-02-21,1,941.09,0,1,0,0.0,0.0
2025-02-22,1,943.3,0,0,21,19809.33,7354.65
2025-02-23,1,943.2,0,0,23,21693.63,8052.79
2025-02-24,1,942.77,0,0,30,28283.18,10490.78
2025-02-25,1,942.3,0,0,14,13192.13,4889.01
2025-02-26,1,943.27,0,0,20,18865.46,7003.86
2025-02-27,1,942.91,0,0,23,21686.93,8046.09
2025-02-28,1,942.66,0,0,25,23566.45,8739.45
2025-03-01,1,941.77,0,0,31,29194.88,10809.4
2025-03-02,1,940.52,0,0,17,15988.87,5906.51
2025-03-03,1,937.91,0,0,18,16882.37,6206.93
2025-03-04,1,940.52,0,0,28,26334.48,9728.24
2025-03-05,1,939.91,0,0,19,17858.29,6589.77
2025-03-06,1,939.27,0,0,17,15967.53,5885.17
2025-03-07,1,940.44,0,0,29,27272.81,10073.49
2025-03-08,1,938.91,0,0,20,18778.11,6916.51
2025-03-09,1,940.05,0,0,24,22561.09,8327.17
2025-03-10,1,939.63,0,0,16,15034.15,5544.87
2025-03-11,1,940.2,0,0,26,24445.13,9025.05
2025-03-12,1,940.95,0,0,24,22582.71,8348.79
2025-03-13,1,941.83,0,0,17,16011.08,5928.72
2025-03-14,1,941.5,0,0,17,16005.53,5923.17
2025-03-15,1,940.79,0,0,23,21638.07,7997.23
2025-03-16,1,942.24,0,0,24,22613.65,8379.73
2025-03-17,1,944.09,0,0,20,18881.86,7020.26
2025-03-18,1,944.45,0,0,13,12277.88,4567.84
2025-03-19,1,943.95,0,0,21,19822.86,7368.18
2025-03-20,1,943.11,0,1,0,0.0,0.0
2025-03-21,1,942.45,0,0,22,20733.98,7686.22
2025-03-22,1,944.13,0,0,23,21714.91,8074.07
2025-03-23,1,943.96,1,0,19,17935.21,6666.69
2025-03-24,1,943.9,0,0,23,21709.64,8068.8
2025-03-25,1,942.0,0,0,21,19781.97,7327.29
2025-03-26,1,939.9,0,0,27,25377.23,9364.07
2025-03-27,1,941.83,0,0,18,16952.88,6277.44
2025-03-28,1,942.94,0,0,17,16029.93,5947.57
2025-03-29,1,942.0,0,1,0,0.0,0.0
2025-03-30,1,943.52,0,0,29,27362.17,10162.85
2025-03-31,1,943.39,0,0,25,23584.86,8757.86
2025-04-01,1,944.33,0,0,16,15109.24,5619.96
2025-04-02,1,944.91,0,0,17,16063.49,5981.13
2025-04-03,1,946.51,0,0,32,30288.44,11309.88
2025-04-04,1,948.36,1,0,28,26554.09,9947.85
2025-04-05,1,949.05,0,0,18,17082.96,6407.52
2025-04-06,1,950.75,0,1,0,0.0,0.0
2025-04-07,1,951.74,0,0,26,24745.33,9325.25
2025-04-08,1,952.89,0,0,21,20010.67,7555.99
2025-04-09,1,952.64,0,0,30,28579.2,10786.8
2025-04-10,1,953.43,0,1,0,0.0,0.0
2025-04-11,1,952.87,0,0,19,18104.44,6835.92
2025-04-12,1,953.24,0,1,0,0.0,0.0
2025-04-13,1,952.16,0,0,14,13330.26,5027.14
2025-04-14,1,953.6,0,0,25,23840.11,9013.11
2025-04-15,1,954.63,0,1,0,0.0,0.0
2025-04-16,1,953.2,0,0,25,23830.03,9003.03
2025-04-17,1,954.07,0,0,20,19081.47,7219.87
2025-04-18,1,953.9,0,0,22,20985.87,7938.11
2025-04-19,1,953.76,0,0,15,14306.36,5410.16
2025-04-20,1,954.66,0,0,21,20047.89,7593.21
2025-04-21,1,953.47,0,0,18,17162.45,6487.01
2025-04-22,1,953.98,0,0,20,19079.6,7218.0
2025-04-23,1,955.91,0,0,23,21985.97,8345.13
2025-04-24,1,955.94,0,0,20,19118.86,7257.26
2025-04-25,1,956.95,1,0,44,42105.64,16010.12
2025-04-26,1,957.79,0,0,30,28733.74,10941.34
2025-04-27,1,958.06,0,0,23,22035.47,8394.63
2025-04-28,1,959.16,1,0,35,33570.66,12812.86
2025-04-29,1,960.68,0,0,18,17292.28,6616.84
2025-04-30,1,960.31,0,0,16,15365.0,5875.72
2025-05-01,1,959.06,0,0,18,17263.12,6587.68
2025-05-02,1,958.84,0,0,23,22053.27,8412.43
2025-05-03,1,960.52,0,0,14,13447.28,5144.16
2025-05-04,1,958.01,0,0,20,19160.16,7298.56
2025-05-05,1,958.87,0,0,15,14383.08,5486.88
2025-05-06,1,958.41,0,0,18,17251.39,6575.95
2025-05-07,1,960.92,0,0,19,18257.48,6988.96
2025-05-08,1,959.99,0,0,16,15359.81,5870.53
2025-05-09,1,960.74,0,0,20,19214.87,7353.27
2025-05-10,1,960.29,0,0,10,9602.92,3672.12
2025-05-11,1,959.33,0,0,20,19186.59,7324.99
2025-05-12,1,956.67,0,1,0,0.0,0.0
2025-05-13,1,955.04,0,0,15,14325.53,5429.33
2025-05-14,1,955.85,0,0,15,14337.8,5441.6
2025-05-15,1,956.53,1,0,35,33478.45,12720.65
2025-05-16,1,957.48,0,0,11,10532.26,4008.38
2025-05-17,1,959.21,0,0,12,11510.53,4393.57
2025-05-18,1,959.22,0,0,28,26858.29,10252.05
2025-05-19,1,959.62,0,0,19,18232.77,6964.25
2025-05-20,1,962.57,0,0,21,20213.99,7759.31
2025-05-21,1,962.76,0,0,21,20218.01,7763.33
2025-05-22,1,963.58,0,0,26,25053.02,9632.94
2025-05-23,1,963.94,0,0,21,20242.7,7788.02
2025-05-24,1,963.87,0,0,33,31807.63,12235.99
2025-05-25,1,963.23,0,0,21,20227.8,7773.12
2025-05-26,1,963.99,0,0,26,25063.64,9643.56
2025-05-27,1,964.87,0,1,0,0.0,0.0
2025-05-28,1,967.32,0,0,16,15477.17,5987.89
2025-05-29,1,967.66,0,0,26,25159.1,9739.02
2025-05-30,1,968.55,0,0,17,16465.3,6382.94
2025-05-31,1,968.12,0,0,20,19362.39,7500.79
2025-06-01,1,968.24,0,0,22,21301.24,8253.48
2025-06-02,1,969.5,0,0,16,15512.01,6022.73
2025-06-03,1,970.4,0,0,23,22319.3,8678.46
2025-06-04,1,970.61,0,0,21,20382.8,7928.12
2025-06-05,1,969.91,1,0,27,26187.45,10174.29
2025-06-06,1,969.39,0,0,19,18418.35,7149.83
2025-06-07,1,967.53,0,0,21,20318.07,7863.39
2025-06-08,1,967.56,0,0,19,18383.7,7115.18
2025-06-09,1,965.48,0,0,25,24136.92,9309.92
2025-06-10,1,964.72,0,0,17,16400.31,6317.95
2025-06-11,1,961.89,0,0,17,16352.07,6269.71
2025-06-12,1,961.35,1,0,33,31724.53,12152.89
2025-06-13,1,963.62,0,0,21,20236.04,7781.36
2025-06-14,1,964.22,0,0,16,15427.46,5938.18
2025-06-15,1,964.18,0,0,18,17355.28,6679.84
2025-06-16,1,962.69,0,0,24,23104.55,8870.63
2025-06-17,1,960.89,0,0,14,13452.43,5149.31
2025-06-18,1,962.82,0,0,18,17330.75,6655.31
2025-06-19,1,963.69,0,0,21,20237.59,7782.91
2025-06-20,1,962.37,0,0,16,15397.89,5908.61
2025-06-21,1,962.69,0,0,18,17328.47,6653.03
2025-06-22,1,961.75,0,0,19,18273.19,7004.67
2025-06-23,1,964.18,0,0,26,25068.68,9648.6
2025-06-24,1,963.3,0,0,15,14449.5,5553.3
2025-06-25,1,962.45,0,0,21,20211.53,7756.85
2025-06-26,1,960.91,0,0,26,24983.67,9563.59
2025-06-27,1,961.32,1,0,37,35568.81,13624.85
2025-06-28,1,961.87,0,0,17,16351.83,6269.47
2025-06-29,1,962.95,0,0,22,21184.95,8137.19
2025-06-30,1,962.52,0,0,18,17325.29,6649.85
2025-07-01,1,962.33,0,0,22,21171.35,8123.59
2025-07-02,1,962.74,0,0,19,18292.06,7023.54
2025-07-03,1,961.95,0,0,17,16353.09,6270.73
2025-07-04,1,962.31,0,0,17,16359.19,6276.83
2025-07-05,1,961.91,0,0,16,15390.62,5901.34
2025-07-06,1,960.93,0,0,21,20179.62,7724.94
2025-07-07,1,961.84,0,0,19,18274.9,7006.38
2025-07-08,1,962.78,0,0,26,25032.19,9612.11
2025-07-09,1,964.23,0,0,25,24105.83,9278.83
2025-07-10,1,964.87,0,0,27,26051.47,10038.31
2025-07-11,1,964.21,0,0,13,12534.72,4824.68
2025-07-12,1,963.54,0,0,18,17343.67,6668.23
2025-07-13,1,963.01,0,0,26,25038.28,9618.2
2025-07-14,1,963.78,0,0,13,12529.13,4819.09
2025-07-15,1,962.86,0,0,22,21182.86,8135.1
2025-07-16,1,960.46,0,0,14,13446.44,5143.32
2025-07-17,1,958.19,0,0,23,22038.39,8397.55
2025-07-18,1,957.74,0,0,17,16281.66,6199.3
2025-07-19,1,959.61,1,0,25,23990.26,9163.26
2025-07-20,1,960.5,0,1,0,0.0,0.0
2025-07-21,1,960.22,0,0,19,18244.16,6975.64
2025-07-22,1,961.54,0,0,28,26923.0,10316.76
2025-07-23,1,961.06,0,0,24,23065.55,8831.63
2025-07-24,1,961.77,0,0,28,26929.57,10323.33
2025-07-25,1,960.95,0,0,12,11531.44,4414.48
2025-07-26,1,962.26,0,0,21,20207.55,7752.87
2025-07-27,1,964.66,0,0,20,19293.12,7431.52
2025-07-28,1,967.14,0,0,13,12572.77,4862.73
2024-12-01,2,1249.75,0,0,27,33743.13,9026.52
2024-12-02,2,1259.2,0,0,27,33998.34,9281.73
2024-12-03,2,1268.46,0,0,16,20295.4,5648.52
2024-12-04,2,1272.46,0,0,15,19086.93,5355.48
2024-12-05,2,1276.41,0,0,24,30633.81,8663.49
2024-12-06,2,1283.2,0,0,15,19248.04,5516.59
2024-12-07,2,1284.57,0,0,28,35967.89,10335.85
2024-12-08,2,1285.79,0,0,16,20572.65,5925.77
2024-12-09,2,1287.07,0,0,17,21880.17,6317.86
2024-12-10,2,1289.67,0,0,22,28372.64,8233.18
2024-12-11,2,1293.13,0,0,20,25862.67,7554.07
2024-12-12,2,1294.26,0,0,14,18119.67,5303.65
2024-12-13,2,1293.17,0,0,25,32329.23,9443.48
2024-12-14,2,1292.51,0,0,16,20680.17,6033.29
2024-12-15,2,1293.57,1,0,22,28458.58,8319.12
2024-12-16,2,1292.99,0,0,12,15515.9,4530.74
2024-12-17,2,1293.85,0,0,24,31052.44,9082.12
2024-12-18,2,1292.57,0,0,16,20681.18,6034.3
2024-12-19,2,1293.18,0,0,23,29743.21,8688.32
2024-12-20,2,1291.1,0,0,18,23239.77,6762.03
2024-12-21,2,1288.54,0,0,20,25770.87,7462.27
2024-12-22,2,1291.15,0,0,26,33569.78,9768.6
2024-12-23,2,1291.14,0,0,14,18075.96,5259.94
2024-12-24,2,1290.3,0,0,24,30967.31,8996.99
2024-12-25,2,1289.26,0,0,18,23206.64,6728.9
2024-12-26,2,1289.39,0,0,20,25787.72,7479.12
2024-12-27,2,1291.03,0,0,28,36148.84,10516.8
2024-12-28,2,1291.07,0,0,20,25821.31,7512.71
2024-12-29,2,1290.33,0,0,22,28387.3,8247.84
2024-12-30,2,1289.06,0,0,19,24492.21,7099.04
2024-12-31,2,1287.02,0,0,20,25740.33,7431.73
2025-01-01,2,1288.03,1,0,37,47657.15,13786.24
2025-01-02,2,1288.52,0,0,20,25770.36,7461.76
2025-01-03,2,1288.07,0,0,20,25761.48,7452.88
2025-01-04,2,1288.75,0,0,21,27063.76,7839.73
2025-01-05,2,1290.34,0,0,23,29677.87,8622.98
2025-01-06,2,1289.49,0,0,18,23210.81,6733.07
2025-01-07,2,1289.03,0,0,11,14179.36,4109.63
2025-01-08,2,1290.3,0,0,28,36128.52,10496.48
2025-01-09,2,1289.0,0,0,20,25780.07,7471.47
2025-01-10,2,1288.26,0,0,19,24476.94,7083.77
2025-01-11,2,1288.03,0,0,24,30912.8,8942.48
2025-01-12,2,1287.84,0,0,11,14166.28,4096.55
2025-01-13,2,1286.12,0,0,16,20578.0,5931.12
2025-01-14,2,1284.89,0,0,8,10279.15,2955.71
2025-01-15,2,1283.34,0,0,17,21816.86,6254.55
2025-01-16,2,1282.08,0,0,20,25641.51,7332.91
2025-01-17,2,1280.15,0,0,15,19202.18,5470.73
2025-01-18,2,1279.64,0,0,22,28152.08,8012.62
2025-01-19,2,1279.84,0,0,14,17917.69,5101.67
2025-01-20,2,1280.46,0,0,20,25609.27,7300.67
2025-01-21,2,1279.24,0,0,17,21747.01,6184.7
2025-01-22,2,1281.88,0,0,19,24355.77,6962.6
2025-01-23,2,1285.03,0,0,20,25700.55,7391.95
2025-01-24,2,1284.07,1,0,32,41090.26,11796.5
2025-01-25,2,1285.27,0,0,21,26990.68,7766.65
2025-01-26,2,1283.71,0,1,0,0.0,0.0
2025-01-27,2,1283.54,0,0,17,21820.24,6257.93
2025-01-28,2,1286.19,0,0,17,21865.25,6302.94
2025-01-29,2,1288.28,0,0,24,30918.83,8948.51
2025-01-30,2,1288.43,0,0,23,29633.98,8579.09
2025-01-31,2,1291.11,0,0,25,32277.63,9391.88
2025-02-01,2,1293.11,0,0,14,18103.58,5287.56
2025-02-02,2,1291.77,0,0,19,24543.69,7150.52
2025-02-03,2,1292.63,0,0,24,31023.03,9052.71
2025-02-04,2,1292.08,0,0,31,40054.54,11676.21
2025-02-05,2,1290.2,0,0,24,30964.83,8994.51
2025-02-06,2,1290.32,0,0,14,18064.53,5248.51
2025-02-07,2,1289.67,0,0,17,21924.42,6362.11
2025-02-08,2,1288.98,0,0,18,23201.59,6723.85
2025-02-09,2,1289.83,1,0,29,37405.2,10857.73
2025-02-10,2,1290.24,0,0,27,34836.46,10119.85
2025-02-11,2,1289.06,0,0,26,33515.47,9714.29
2025-02-12,2,1289.16,0,0,28,36096.34,10464.3
2025-02-13,2,1289.92,0,0,25,32247.96,9362.21
2025-02-14,2,1288.16,0,0,19,24475.08,7081.91
2025-02-15,2,1285.4,0,0,21,26993.4,7769.37
2025-02-16,2,1285.41,0,0,24,30849.9,8879.58
2025-02-17,2,1286.9,0,0,19,24451.12,7057.95
2025-02-18,2,1285.57,0,0,15,19283.59,5552.14
2025-02-19,2,1286.6,0,0,27,34738.28,10021.67
2025-02-20,2,1286.45,0,0,18,23156.07,6678.33
2025-02-21,2,1284.94,0,0,16,20558.97,5912.09
2025-02-22,2,1281.94,0,0,22,28202.73,8063.27
2025-02-23,2,1279.93,0,0,24,30718.26,8747.94
2025-02-24,2,1279.93,0,0,14,17919.03,5103.01
2025-02-25,2,1278.58,0,0,27,34521.63,9805.02
2025-02-26,2,1275.8,0,0,21,26791.9,7567.87
2025-02-27,2,1275.54,0,0,22,28061.82,7922.36
2025-02-28,2,1273.55,0,0,17,21650.43,6088.12
2025-03-01,2,1273.29,0,0,27,34378.79,9662.18
2025-03-02,2,1271.31,0,0,20,25426.12,7117.52
2025-03-03,2,1270.35,0,0,17,21595.95,6033.64
2025-03-04,2,1266.62,0,0,17,21532.58,5970.27
2025-03-05,2,1266.07,0,0,14,17725.0,4908.98
2025-03-06,2,1265.87,0,0,17,21519.73,5957.42
2025-03-07,2,1265.68,0,0,20,25313.54,7004.94
2025-03-08,2,1262.39,1,0,43,54282.66,14919.17
2025-03-09,2,1267.21,0,0,18,22809.74,6332.0
2025-03-10,2,1267.6,0,0,15,19014.03,5282.58
2025-03-11,2,1270.01,0,0,27,34290.2,9573.59
2025-03-12,2,1269.63,0,0,18,22853.38,6375.64
2025-03-13,2,1272.16,0,0,23,29259.68,8204.79
2025-03-14,2,1271.59,0,0,27,34332.96,9616.35
2025-03-15,2,1272.64,0,0,15,19089.65,5358.2
2025-03-16,2,1272.81,1,0,25,31820.13,8934.38
2025-03-17,2,1273.55,0,0,19,24197.39,6804.22
2025-03-18,2,1276.1,0,0,14,17865.44,5049.42
2025-03-19,2,1275.51,0,0,23,29336.62,8281.73
2025-03-20,2,1275.81,0,0,30,38274.29,10811.39
2025-03-21,2,1277.71,0,0,22,28109.66,7970.2
2025-03-22,2,1279.2,0,0,21,26863.18,7639.15
2025-03-23,2,1279.15,1,0,40,51165.82,14548.62
2025-03-24,2,1279.32,0,0,14,17910.47,5094.45
2025-03-25,2,1279.14,0,0,26,33257.64,9456.46
2025-03-26,2,1279.4,0,0,15,19191.06,5459.61
2025-03-27,2,1277.38,0,0,25,31934.42,9048.67
2025-03-28,2,1276.59,0,0,29,37021.07,10473.6
2025-03-29,2,1277.07,0,0,27,34480.78,9764.17
2025-03-30,2,1276.56,0,0,25,31913.97,9028.22
2025-03-31,2,1276.89,0,0,19,24260.87,6867.7
2025-04-01,2,1277.33,0,0,33,42151.9,11942.71
2025-04-02,2,1281.57,0,0,23,29476.16,8421.27
2025-04-03,2,1284.64,0,0,17,21838.82,6276.51
2025-04-04,2,1288.54,0,0,14,18039.54,5223.52
2025-04-05,2,1287.33,0,0,21,27033.84,7809.81
2025-04-06,2,1288.08,0,0,21,27049.63,7825.6
2025-04-07,2,1288.43,0,0,28,36075.92,10443.88
2025-04-08,2,1290.92,0,0,20,25818.37,7509.77
2025-04-09,2,1291.37,0,0,24,30992.8,9022.48
2025-04-10,2,1293.4,0,0,21,27161.46,7937.43
2025-04-11,2,1293.49,0,0,23,29750.2,8695.31
2025-04-12,2,1294.11,0,1,0,0.0,0.0
2025-04-13,2,1291.41,0,0,25,32285.35,9399.6
2025-04-14,2,1289.6,0,0,19,24502.48,7109.31
2025-04-15,2,1289.23,0,0,21,27073.86,7849.83
2025-04-16,2,1290.78,0,0,22,28397.19,8257.73
2025-04-17,2,1290.86,0,0,11,14199.47,4129.74
2025-04-18,2,1290.24,0,0,16,20643.82,5996.94
2025-04-19,2,1289.71,0,0,26,33532.47,9731.29
2025-04-20,2,1289.16,0,0,28,36096.47,10464.43
2025-04-21,2,1288.88,0,0,20,25777.65,7469.05
2025-04-22,2,1289.47,0,0,27,34815.57,10098.96
2025-04-23,2,1290.38,0,0,22,28388.36,8248.9
2025-04-24,2,1290.36,0,0,21,27097.47,7873.44
2025-04-25,2,1289.05,1,0,27,34804.4,10087.79
2025-04-26,2,1287.25,1,0,38,48915.35,14129.01
2025-04-27,2,1286.22,0,0,10,12862.18,3707.88
2025-04-28,2,1285.16,0,0,25,32129.12,9243.37
2025-04-29,2,1284.37,0,0,13,16696.84,4796.25
2025-04-30,2,1282.68,0,0,18,23088.3,6610.56
2025-05-01,2,1281.21,0,0,21,26905.38,7681.35
2025-05-02,2,1279.52,0,0,24,30708.53,8738.21
2025-05-03,2,1282.59,0,0,14,17956.25,5140.23
2025-05-04,2,1284.54,0,0,19,24406.34,7013.17
2025-05-05,2,1286.43,0,0,19,24442.12,7048.95
2025-05-06,2,1286.8,0,0,27,34743.58,10026.97
2025-05-07,2,1288.11,0,0,21,27050.41,7826.38
2025-05-08,2,1288.46,0,0,20,25769.27,7460.67
2025-05-09,2,1291.36,0,0,13,16787.71,4887.12
2025-05-10,2,1292.95,0,0,22,28444.81,8305.35
2025-05-11,2,1293.83,0,0,19,24582.86,7189.69
2025-05-12,2,1293.56,1,1,0,0.0,0.0
2025-05-13,2,1293.28,0,1,0,0.0,0.0
2025-05-14,2,1294.77,0,0,24,31074.42,9104.1
2025-05-15,2,1295.13,0,0,16,20722.06,6075.18
2025-05-16,2,1297.55,0,0,22,28546.1,8406.64
2025-05-17,2,1298.62,0,0,26,33764.02,9962.84
2025-05-18,2,1299.57,1,0,39,50683.09,14981.32
2025-05-19,2,1298.06,0,0,27,35047.69,10331.08
2025-05-20,2,1296.84,0,0,22,28530.4,8390.94
2025-05-21,2,1296.98,0,0,22,28533.5,8394.04
2025-05-22,2,1298.91,0,0,18,23380.31,6902.57
2025-05-23,2,1300.06,0,0,23,29901.32,8846.43
2025-05-24,2,1298.93,0,0,20,25978.51,7669.91
2025-05-25,2,1299.26,0,0,28,36379.33,10747.29
2025-05-26,2,1298.48,0,0,21,27268.05,8044.02
2025-05-27,2,1299.0,0,0,13,16887.01,4986.42
2025-05-28,2,1303.44,0,0,16,20855.11,6208.23
2025-05-29,2,1305.79,0,0,18,23504.15,7026.41
2025-05-30,2,1305.38,0,0,23,30023.69,8968.8
2025-05-31,2,1308.65,0,1,0,0.0,0.0
2025-06-01,2,1310.59,0,0,16,20969.38,6322.5
2025-06-02,2,1310.86,0,0,19,24906.26,7513.09
2025-06-03,2,1312.72,0,0,13,17065.32,5164.73
2025-06-04,2,1312.83,0,0,26,34133.68,10332.5
2025-06-05,2,1315.93,0,0,22,28950.41,8810.95
2025-06-06,2,1319.32,0,0,26,34302.26,10501.08
2025-06-07,2,1318.23,0,0,14,18455.25,5639.23
2025-06-08,2,1319.01,0,0,23,30337.31,9282.42
2025-06-09,2,1320.8,0,0,23,30378.49,9323.6
2025-06-10,2,1318.31,0,0,25,32957.65,10071.9
2025-06-11,2,1318.11,0,0,16,21089.82,6442.94
2025-06-12,2,1317.46,0,0,23,30301.58,9246.69
2025-06-13,2,1318.79,0,0,29,38244.88,11697.41
2025-06-14,2,1320.28,0,0,15,19804.15,6072.7
2025-06-15,2,1318.06,0,0,25,32951.6,10065.85
2025-06-16,2,1319.74,0,0,15,19796.09,6064.64
2025-06-17,2,1317.22,0,0,22,28978.88,8839.42
2025-06-18,2,1316.22,0,0,18,23691.99,7214.25
2025-06-19,2,1314.91,0,0,26,34187.73,10386.55
2025-06-20,2,1314.0,0,0,18,23651.97,7174.23
2025-06-21,2,1313.35,0,0,23,30206.96,9152.07
2025-06-22,2,1312.66,0,0,28,36754.49,11122.45
2025-06-23,2,1313.32,0,0,31,40712.8,12334.47
2025-06-24,2,1314.12,0,0,21,27596.57,8372.54
2025-06-25,2,1313.59,0,0,11,14449.49,4379.76
2025-06-26,2,1313.45,0,0,13,17074.9,5174.31
2025-06-27,2,1313.53,0,0,18,23643.49,7165.75
2025-06-28,2,1314.86,0,0,20,26297.13,7988.53
2025-06-29,2,1314.28,0,0,12,15771.35,4786.19
2025-06-30,2,1314.74,0,0,25,32868.41,9982.66
2025-07-01,2,1314.02,0,0,22,28908.53,8769.07
2025-07-02,2,1314.4,0,0,15,19716.0,5984.55
2025-07-03,2,1313.41,0,0,20,26268.17,7959.57
2025-07-04,2,1313.81,0,0,16,21021.0,6374.12
2025-07-05,2,1315.64,0,0,18,23681.6,7203.86
2025-07-06,2,1317.41,0,0,21,27665.65,8441.62
2025-07-07,2,1315.06,0,0,32,42081.88,12788.12
2025-07-08,2,1314.63,1,0,27,35495.14,10778.53
2025-07-09,2,1312.62,0,0,18,23627.1,7149.36
2025-07-10,2,1312.31,0,0,16,20996.95,6350.07
2025-07-11,2,1311.65,0,0,26,34102.87,10301.69
2025-07-12,2,1310.2,0,0,23,30134.49,9079.6
2025-07-13,2,1309.06,0,0,19,24872.23,7479.06
2025-07-14,2,1308.44,0,0,26,34019.47,10218.29
2025-07-15,2,1309.77,0,0,22,28814.93,8675.47
2025-07-16,2,1308.45,0,0,15,19626.73,5895.28
2025-07-17,2,1306.29,1,0,34,44413.78,13289.16
2025-07-18,2,1306.08,0,0,18,23509.46,7031.72
2025-07-19,2,1305.09,0,0,14,18271.32,5455.3
2025-07-20,2,1302.02,0,0,14,18228.28,5412.26
2025-07-21,2,1301.31,0,0,25,32532.66,9646.91
