date,product_id,price,is_promo,is_stockout,units_sold,revenue,margin,competitor_price,product_name,category,brand,base_cost,base_price,dow,is_weekend,week,month,year,lag1_units,lag7_units,roll7_units_mean,roll14_units_mean,ok_for_elasticity
2024-12-21,1,927.78,0,0,13,12061.14,4351.1,926.71,Prod 1,Beauty,Kairo,593.08,935.77,5,1,51,12,2024,15.0,23.0,18.428571428571427,19.285714285714285,1
2024-12-22,1,925.92,0,0,20,18518.4,6656.8,924.02,Prod 1,Beauty,Kairo,593.08,935.77,6,1,51,12,2024,13.0,20.0,18.428571428571427,19.642857142857142,1
2024-12-23,1,924.77,0,0,20,18495.4,6633.8,922.31,Prod 1,Beauty,Kairo,593.08,935.77,0,0,52,12,2024,20.0,24.0,17.857142857142858,19.642857142857142,1
2024-12-24,1,924.0,0,0,27,24948.0,8934.84,923.43,Prod 1,Beauty,Kairo,593.08,935.77,1,0,52,12,2024,20.0,17.0,19.285714285714285,19.857142857142858,1
2024-12-25,1,923.81,0,0,19,17552.39,6283.87,926.54,Prod 1,Beauty,Kairo,593.08,935.77,2,0,52,12,2024,27.0,9.0,20.714285714285715,20.0,1
2024-12-26,1,923.49,0,0,21,19393.29,6938.61,925.63,Prod 1,Beauty,Kairo,593.08,935.77,3,0,52,12,2024,19.0,31.0,19.285714285714285,19.571428571428573,1
2024-12-27,1,924.65,0,0,23,21266.95,7626.11,925.41,Prod 1,Beauty,Kairo,593.08,935.77,4,0,52,12,2024,21.0,15.0,20.428571428571427,20.142857142857142,1
2024-12-28,1,924.54,0,0,13,12019.02,4308.98,929.61,Prod 1,Beauty,Kairo,593.08,935.77,5,1,52,12,2024,23.0,13.0,20.428571428571427,19.428571428571427,1
2024-12-29,1,926.38,0,0,16,14822.08,5332.8,930.92,Prod 1,Beauty,Kairo,593.08,935.77,6,1,52,12,2024,13.0,20.0,19.857142857142858,19.142857142857142,1
2024-12-30,1,927.34,0,0,23,21328.82,7687.98,931.18,Prod 1,Beauty,Kairo,593.08,935.77,0,0,1,12,2024,16.0,20.0,20.285714285714285,19.071428571428573,1
2024-12-31,1,930.08,0,0,26,24182.08,8762.0,932.59,Prod 1,Beauty,Kairo,593.08,935.77,1,0,1,12,2024,23.0,27.0,20.142857142857142,19.714285714285715,1
2025-01-01,1,930.38,0,0,16,14886.08,5396.8,934.71,Prod 1,Beauty,Kairo,593.08,935.77,2,0,1,1,2025,26.0,19.0,19.714285714285715,20.214285714285715,1
2025-01-02,1,930.91,0,0,22,20480.02,7432.26,937.62,Prod 1,Beauty,Kairo,593.08,935.77,3,0,1,1,2025,16.0,21.0,19.857142857142858,19.571428571428573,1
2025-01-03,1,932.15,0,0,18,16778.7,6103.26,937.55,Prod 1,Beauty,Kairo,593.08,935.77,4,0,1,1,2025,22.0,23.0,19.142857142857142,19.785714285714285,1
2025-01-04,1,934.33,0,0,23,21489.59,7848.75,940.56,Prod 1,Beauty,Kairo,593.08,935.77,5,1,1,1,2025,18.0,13.0,20.571428571428573,20.5,1
2025-01-05,1,936.73,0,0,22,20608.06,7560.3,940.99,Prod 1,Beauty,Kairo,593.08,935.77,6,1,1,1,2025,23.0,16.0,21.428571428571427,20.642857142857142,1
2025-01-06,1,936.22,0,0,23,21533.06,7892.22,938.1,Prod 1,Beauty,Kairo,593.08,935.77,0,0,2,1,2025,22.0,23.0,21.428571428571427,20.857142857142858,1
2025-01-07,1,935.75,0,0,21,19650.75,7196.07,937.87,Prod 1,Beauty,Kairo,593.08,935.77,1,0,2,1,2025,23.0,26.0,20.714285714285715,20.428571428571427,1
2025-01-08,1,937.23,0,0,25,23430.75,8603.75,941.26,Prod 1,Beauty,Kairo,593.08,935.77,2,0,2,1,2025,21.0,16.0,22.0,20.857142857142858,1
2025-01-09,1,937.59,0,0,17,15939.03,5856.67,941.42,Prod 1,Beauty,Kairo,593.08,935.77,3,0,2,1,2025,25.0,22.0,21.285714285714285,20.571428571428573,1
2025-01-10,1,938.98,0,0,18,16901.64,6226.2,943.4,Prod 1,Beauty,Kairo,593.08,935.77,4,0,2,1,2025,17.0,18.0,21.285714285714285,20.214285714285715,1
2025-01-11,1,937.98,0,0,17,15945.66,5863.3,944.95,Prod 1,Beauty,Kairo,593.08,935.77,5,1,2,1,2025,18.0,23.0,20.428571428571427,20.5,1
2025-01-12,1,937.76,0,0,25,23444.0,8617.0,943.87,Prod 1,Beauty,Kairo,593.08,935.77,6,1,2,1,2025,17.0,22.0,20.857142857142858,21.142857142857142,1
2025-01-13,1,938.68,0,0,17,15957.56,5875.2,944.88,Prod 1,Beauty,Kairo,593.08,935.77,0,0,3,1,2025,25.0,23.0,20.0,20.714285714285715,1
2025-01-14,1,939.77,1,0,33,31012.41,11440.77,941.33,Prod 1,Beauty,Kairo,593.08,935.77,1,0,3,1,2025,17.0,21.0,21.714285714285715,21.214285714285715,1
2025-01-15,1,939.75,0,0,21,19734.75,7280.07,941.86,Prod 1,Beauty,Kairo,593.08,935.77,2,0,3,1,2025,33.0,25.0,21.142857142857142,21.571428571428573,1
2025-01-16,1,940.5,0,0,16,15048.0,5558.72,942.55,Prod 1,Beauty,Kairo,593.08,935.77,3,0,3,1,2025,21.0,17.0,21.0,21.142857142857142,1
2025-01-17,1,939.69,0,0,21,19733.49,7278.81,942.11,Prod 1,Beauty,Kairo,593.08,935.77,4,0,3,1,2025,16.0,18.0,21.428571428571427,21.357142857142858,1
2025-01-18,1,939.94,0,0,12,11279.28,4162.32,941.18,Prod 1,Beauty,Kairo,593.08,935.77,5,1,3,1,2025,21.0,17.0,20.714285714285715,20.571428571428573,1
2025-01-19,1,940.33,0,0,22,20687.26,7639.5,942.45,Prod 1,Beauty,Kairo,593.08,935.77,6,1,3,1,2025,12.0,25.0,20.285714285714285,20.571428571428573,1
2025-01-20,1,940.86,0,0,21,19758.06,7303.38,945.07,Prod 1,Beauty,Kairo,593.08,935.77,0,0,4,1,2025,22.0,17.0,20.857142857142858,20.428571428571427,1
2025-01-21,1,940.8,1,0,33,31046.4,11474.76,943.8,Prod 1,Beauty,Kairo,593.08,935.77,1,0,4,1,2025,21.0,33.0,20.857142857142858,21.285714285714285,1
2025-01-22,1,941.7,0,0,15,14125.5,5229.3,944.4,Prod 1,Beauty,Kairo,593.08,935.77,2,0,4,1,2025,33.0,21.0,20.0,20.571428571428573,1
2025-01-23,1,941.95,0,0,22,20722.9,7675.14,946.94,Prod 1,Beauty,Kairo,593.08,935.77,3,0,4,1,2025,15.0,16.0,20.857142857142858,20.928571428571427,1
2025-01-24,1,941.4,0,0,18,16945.2,6269.76,940.43,Prod 1,Beauty,Kairo,593.08,935.77,4,0,4,1,2025,22.0,21.0,20.428571428571427,20.928571428571427,1
2025-01-25,1,943.23,0,0,23,21694.29,8053.45,945.18,Prod 1,Beauty,Kairo,593.08,935.77,5,1,4,1,2025,18.0,12.0,22.0,21.357142857142858,1
2025-01-26,1,943.29,0,0,20,18865.8,7004.2,945.65,Prod 1,Beauty,Kairo,593.08,935.77,6,1,4,1,2025,23.0,22.0,21.714285714285715,21.0,1
2025-01-27,1,943.78,0,0,14,13212.92,4909.8,946.65,Prod 1,Beauty,Kairo,593.08,935.77,0,0,5,1,2025,20.0,21.0,20.714285714285715,20.785714285714285,1
2025-01-28,1,944.91,0,0,20,18898.2,7036.6,943.8,Prod 1,Beauty,Kairo,593.08,935.77,1,0,5,1,2025,14.0,33.0,18.857142857142858,19.857142857142858,1
2025-01-29,1,945.43,0,0,17,16072.31,5989.95,939.94,Prod 1,Beauty,Kairo,593.08,935.77,2,0,5,1,2025,20.0,15.0,19.142857142857142,19.571428571428573,1
2025-01-30,1,944.52,0,0,17,16056.84,5974.48,940.82,Prod 1,Beauty,Kairo,593.08,935.77,3,0,5,1,2025,17.0,22.0,18.428571428571427,19.642857142857142,1
2025-01-31,1,945.74,0,0,18,17023.32,6347.88,942.77,Prod 1,Beauty,Kairo,593.08,935.77,4,0,5,1,2025,17.0,18.0,18.428571428571427,19.428571428571427,1
2025-02-01,1,944.66,0,0,16,15114.56,5625.28,941.6,Prod 1,Beauty,Kairo,593.08,935.77,5,1,5,2,2025,18.0,23.0,17.428571428571427,19.714285714285715,1
2025-02-02,1,944.23,0,0,16,15107.68,5618.4,941.68,Prod 1,Beauty,Kairo,593.08,935.77,6,1,5,2,2025,16.0,20.0,16.857142857142858,19.285714285714285,1
2025-02-03,1,944.62,0,0,26,24560.12,9140.04,945.01,Prod 1,Beauty,Kairo,593.08,935.77,0,0,6,2,2025,16.0,14.0,18.571428571428573,19.642857142857142,1
2025-02-04,1,943.31,0,0,12,11319.72,4202.76,943.55,Prod 1,Beauty,Kairo,593.08,935.77,1,0,6,2,2025,26.0,20.0,17.428571428571427,18.142857142857142,1
2025-02-05,1,942.97,0,0,22,20745.34,7697.58,940.63,Prod 1,Beauty,Kairo,593.08,935.77,2,0,6,2,2025,12.0,17.0,18.142857142857142,18.642857142857142,1
2025-02-06,1,942.39,0,0,21,19790.19,7335.51,938.18,Prod 1,Beauty,Kairo,593.08,935.77,3,0,6,2,2025,22.0,17.0,18.714285714285715,18.571428571428573,1
2025-02-07,1,942.42,0,0,19,17905.98,6637.46,938.6,Prod 1,Beauty,Kairo,593.08,935.77,4,0,6,2,2025,21.0,18.0,18.857142857142858,18.642857142857142,1
2025-02-08,1,942.33,1,0,30,28269.9,10477.5,938.24,Prod 1,Beauty,Kairo,593.08,935.77,5,1,6,2,2025,19.0,16.0,20.857142857142858,19.142857142857142,1
2025-02-09,1,942.5,0,0,15,14137.5,5241.3,939.3,Prod 1,Beauty,Kairo,593.08,935.77,6,1,6,2,2025,30.0,16.0,20.714285714285715,18.785714285714285,1
2025-02-10,1,943.77,0,0,18,16987.86,6312.42,940.22,Prod 1,Beauty,Kairo,593.08,935.77,0,0,7,2,2025,15.0,26.0,19.571428571428573,19.071428571428573,1
2025-02-11,1,940.78,0,0,14,13170.92,4867.8,938.82,Prod 1,Beauty,Kairo,593.08,935.77,1,0,7,2,2025,18.0,12.0,19.857142857142858,18.642857142857142,1
2025-02-12,1,942.25,0,0,24,22614.0,8380.08,936.93,Prod 1,Beauty,Kairo,593.08,935.77,2,0,7,2,2025,14.0,22.0,20.142857142857142,19.142857142857142,1
2025-02-13,1,941.3,0,0,24,22591.2,8357.28,938.21,Prod 1,Beauty,Kairo,593.08,935.77,3,0,7,2,2025,24.0,21.0,20.571428571428573,19.642857142857142,1
2025-02-14,1,941.16,0,0,26,24470.16,9050.08,937.85,Prod 1,Beauty,Kairo,593.08,935.77,4,0,7,2,2025,24.0,19.0,21.571428571428573,20.214285714285715,1
2025-02-15,1,939.53,0,0,23,21609.19,7968.35,939.08,Prod 1,Beauty,Kairo,593.08,935.77,5,1,7,2,2025,26.0,30.0,20.571428571428573,20.714285714285715,1
2025-02-16,1,939.98,0,0,23,21619.54,7978.7,940.62,Prod 1,Beauty,Kairo,593.08,935.77,6,1,7,2,2025,23.0,15.0,21.714285714285715,21.214285714285715,1
2025-02-17,1,938.18,0,0,13,12196.34,4486.3,941.91,Prod 1,Beauty,Kairo,593.08,935.77,0,0,8,2,2025,23.0,18.0,21.0,20.285714285714285,1
2025-02-18,1,938.64,0,0,24,22527.36,8293.44,944.59,Prod 1,Beauty,Kairo,593.08,935.77,1,0,8,2,2025,13.0,14.0,22.428571428571427,21.142857142857142,1
2025-02-19,1,940.86,0,0,23,21639.78,7998.94,946.4,Prod 1,Beauty,Kairo,593.08,935.77,2,0,8,2,2025,24.0,24.0,22.285714285714285,21.214285714285715,1
2025-02-20,1,940.56,0,0,21,19751.76,7297.08,949.85,Prod 1,Beauty,Kairo,593.08,935.77,3,0,8,2,2025,23.0,24.0,21.857142857142858,21.214285714285715,1
2025-02-21,1,941.09,0,1,0,0.0,0.0,945.03,Prod 1,Beauty,Kairo,593.08,935.77,4,0,8,2,2025,21.0,26.0,18.142857142857142,19.857142857142858,0
2025-02-22,1,943.3,0,0,21,19809.3,7354.62,948.77,Prod 1,Beauty,Kairo,593.08,935.77,5,1,8,2,2025,0.0,23.0,17.857142857142858,19.214285714285715,1
2025-02-23,1,943.2,0,0,23,21693.6,8052.76,945.63,Prod 1,Beauty,Kairo,593.08,935.77,6,1,8,2,2025,21.0,23.0,17.857142857142858,19.785714285714285,1
2025-02-24,1,942.77,0,0,30,28283.1,10490.7,943.88,Prod 1,Beauty,Kairo,593.08,935.77,0,0,9,2,2025,23.0,13.0,20.285714285714285,20.642857142857142,1
2025-02-25,1,942.3,0,0,14,13192.2,4889.08,942.7,Prod 1,Beauty,Kairo,593.08,935.77,1,0,9,2,2025,30.0,24.0,18.857142857142858,20.642857142857142,1
2025-02-26,1,943.27,0,0,20,18865.4,7003.8,940.65,Prod 1,Beauty,Kairo,593.08,935.77,2,0,9,2,2025,14.0,23.0,18.428571428571427,20.357142857142858,1
2025-02-27,1,942.91,0,0,23,21686.93,8046.09,942.62,Prod 1,Beauty,Kairo,593.08,935.77,3,0,9,2,2025,20.0,21.0,18.714285714285715,20.285714285714285,1
2025-02-28,1,942.66,0,0,25,23566.5,8739.5,942.54,Prod 1,Beauty,Kairo,593.08,935.77,4,0,9,2,2025,23.0,0.0,22.285714285714285,20.214285714285715,1
2025-03-01,1,941.77,0,0,31,29194.87,10809.39,941.28,Prod 1,Beauty,Kairo,593.08,935.77,5,1,9,3,2025,25.0,21.0,23.714285714285715,20.785714285714285,1
2025-03-02,1,940.52,0,0,17,15988.84,5906.48,938.24,Prod 1,Beauty,Kairo,593.08,935.77,6,1,9,3,2025,31.0,23.0,22.857142857142858,20.357142857142858,1
2025-03-03,1,937.91,0,0,18,16882.38,6206.94,937.4,Prod 1,Beauty,Kairo,593.08,935.77,0,0,10,3,2025,17.0,30.0,21.142857142857142,20.714285714285715,1
2025-03-04,1,940.52,0,0,28,26334.56,9728.32,939.58,Prod 1,Beauty,Kairo,593.08,935.77,1,0,10,3,2025,18.0,14.0,23.142857142857142,21.0,1
2025-03-05,1,939.91,0,0,19,17858.29,6589.77,938.52,Prod 1,Beauty,Kairo,593.08,935.77,2,0,10,3,2025,28.0,20.0,23.0,20.714285714285715,1
2025-03-06,1,939.27,0,0,17,15967.59,5885.23,940.3,Prod 1,Beauty,Kairo,593.08,935.77,3,0,10,3,2025,19.0,23.0,22.142857142857142,20.428571428571427,1
2025-03-07,1,940.44,0,0,29,27272.76,10073.44,940.57,Prod 1,Beauty,Kairo,593.08,935.77,4,0,10,3,2025,17.0,25.0,22.714285714285715,22.5,1
2025-03-08,1,938.91,0,0,20,18778.2,6916.6,940.68,Prod 1,Beauty,Kairo,593.08,935.77,5,1,10,3,2025,29.0,31.0,21.142857142857142,22.428571428571427,1
2025-03-09,1,940.05,0,0,24,22561.2,8327.28,941.11,Prod 1,Beauty,Kairo,593.08,935.77,6,1,10,3,2025,20.0,17.0,22.142857142857142,22.5,1
2025-03-10,1,939.63,0,0,16,15034.08,5544.8,940.93,Prod 1,Beauty,Kairo,593.08,935.77,0,0,11,3,2025,24.0,18.0,21.857142857142858,21.5,1
2025-03-11,1,940.2,0,0,26,24445.2,9025.12,940.89,Prod 1,Beauty,Kairo,593.08,935.77,1,0,11,3,2025,16.0,28.0,21.571428571428573,22.357142857142858,1
2025-03-12,1,940.95,0,0,24,22582.8,8348.88,941.05,Prod 1,Beauty,Kairo,593.08,935.77,2,0,11,3,2025,26.0,19.0,22.285714285714285,22.642857142857142,1
2025-03-13,1,941.83,0,0,17,16011.11,5928.75,942.83,Prod 1,Beauty,Kairo,593.08,935.77,3,0,11,3,2025,24.0,17.0,22.285714285714285,22.214285714285715,1
2025-03-14,1,941.5,0,0,17,16005.5,5923.14,942.82,Prod 1,Beauty,Kairo,593.08,935.77,4,0,11,3,2025,17.0,29.0,20.571428571428573,21.642857142857142,1
2025-03-15,1,940.79,0,0,23,21638.17,7997.33,944.16,Prod 1,Beauty,Kairo,593.08,935.77,5,1,11,3,2025,17.0,20.0,21.0,21.071428571428573,1
2025-03-16,1,942.24,0,0,24,22613.76,8379.84,946.3,Prod 1,Beauty,Kairo,593.08,935.77,6,1,11,3,2025,23.0,24.0,21.0,21.571428571428573,1
2025-03-17,1,944.09,0,0,20,18881.8,7020.2,945.87,Prod 1,Beauty,Kairo,593.08,935.77,0,0,12,3,2025,24.0,16.0,21.571428571428573,21.714285714285715,1
2025-03-18,1,944.45,0,0,13,12277.85,4567.81,946.12,Prod 1,Beauty,Kairo,593.08,935.77,1,0,12,3,2025,20.0,26.0,19.714285714285715,20.642857142857142,1
2025-03-19,1,943.95,0,0,21,19822.95,7368.27,946.82,Prod 1,Beauty,Kairo,593.08,935.77,2,0,12,3,2025,13.0,24.0,19.285714285714285,20.785714285714285,1
2025-03-20,1,943.11,0,1,0,0.0,0.0,943.49,Prod 1,Beauty,Kairo,593.08,935.77,3,0,12,3,2025,21.0,17.0,16.857142857142858,19.571428571428573,0
2025-03-21,1,942.45,0,0,22,20733.9,7686.14,942.92,Prod 1,Beauty,Kairo,593.08,935.77,4,0,12,3,2025,0.0,17.0,17.571428571428573,19.071428571428573,1
2025-03-22,1,944.13,0,0,23,21714.99,8074.15,944.81,Prod 1,Beauty,Kairo,593.08,935.77,5,1,12,3,2025,22.0,23.0,17.571428571428573,19.285714285714285,1
2025-03-23,1,943.96,1,0,19,17935.24,6666.72,945.08,Prod 1,Beauty,Kairo,593.08,935.77,6,1,12,3,2025,23.0,24.0,16.857142857142858,18.928571428571427,1
2025-03-24,1,943.9,0,0,23,21709.7,8068.86,944.55,Prod 1,Beauty,Kairo,593.08,935.77,0,0,13,3,2025,19.0,20.0,17.285714285714285,19.428571428571427,1
2025-03-25,1,942.0,0,0,21,19782.0,7327.32,947.09,Prod 1,Beauty,Kairo,593.08,935.77,1,0,13,3,2025,23.0,13.0,18.428571428571427,19.071428571428573,1
2025-03-26,1,939.9,0,0,27,25377.3,9364.14,943.33,Prod 1,Beauty,Kairo,593.08,935.77,2,0,13,3,2025,21.0,21.0,19.285714285714285,19.285714285714285,1
2025-03-27,1,941.83,0,0,18,16952.94,6277.5,945.63,Prod 1,Beauty,Kairo,593.08,935.77,3,0,13,3,2025,27.0,0.0,21.857142857142858,19.357142857142858,1
2025-03-28,1,942.94,0,0,17,16029.98,5947.62,947.49,Prod 1,Beauty,Kairo,593.08,935.77,4,0,13,3,2025,18.0,22.0,21.142857142857142,19.357142857142858,1
2025-03-29,1,942.0,0,1,0,0.0,0.0,948.03,Prod 1,Beauty,Kairo,593.08,935.77,5,1,13,3,2025,17.0,23.0,17.857142857142858,17.714285714285715,0
2025-03-30,1,943.52,0,0,29,27362.08,10162.76,947.47,Prod 1,Beauty,Kairo,593.08,935.77,6,1,13,3,2025,0.0,19.0,19.285714285714285,18.071428571428573,1
2025-03-31,1,943.39,0,0,25,23584.75,8757.75,947.01,Prod 1,Beauty,Kairo,593.08,935.77,0,0,14,3,2025,29.0,23.0,19.571428571428573,18.428571428571427,1
2025-04-01,1,944.33,0,0,16,15109.28,5620.0,948.51,Prod 1,Beauty,Kairo,593.08,935.77,1,0,14,4,2025,25.0,21.0,18.857142857142858,18.642857142857142,1
2025-04-02,1,944.91,0,0,17,16063.47,5981.11,947.73,Prod 1,Beauty,Kairo,593.08,935.77,2,0,14,4,2025,16.0,27.0,17.428571428571427,18.357142857142858,1
2025-04-03,1,946.51,0,0,32,30288.32,11309.76,949.97,Prod 1,Beauty,Kairo,593.08,935.77,3,0,14,4,2025,17.0,18.0,19.428571428571427,20.642857142857142,1
2025-04-04,1,948.36,1,0,28,26554.08,9947.84,952.55,Prod 1,Beauty,Kairo,593.08,935.77,4,0,14,4,2025,32.0,17.0,21.0,21.071428571428573,1
2025-04-05,1,949.05,0,0,18,17082.9,6407.46,954.66,Prod 1,Beauty,Kairo,593.08,935.77,5,1,14,4,2025,28.0,0.0,23.571428571428573,20.714285714285715,1
2025-04-06,1,950.75,0,1,0,0.0,0.0,952.96,Prod 1,Beauty,Kairo,593.08,935.77,6,1,14,4,2025,18.0,29.0,19.428571428571427,19.357142857142858,0
2025-04-07,1,951.74,0,0,26,24745.24,9325.16,953.15,Prod 1,Beauty,Kairo,593.08,935.77,0,0,15,4,2025,0.0,25.0,19.571428571428573,19.571428571428573,1
2025-04-08,1,952.89,0,0,21,20010.69,7556.01,953.43,Prod 1,Beauty,Kairo,593.08,935.77,1,0,15,4,2025,26.0,16.0,20.285714285714285,19.571428571428573,1
2025-04-09,1,952.64,0,0,30,28579.2,10786.8,954.63,Prod 1,Beauty,Kairo,593.08,935.77,2,0,15,4,2025,21.0,17.0,22.142857142857142,19.785714285714285,1
2025-04-10,1,953.43,0,1,0,0.0,0.0,953.61,Prod 1,Beauty,Kairo,593.08,935.77,3,0,15,4,2025,30.0,32.0,17.571428571428573,18.5,0
2025-04-11,1,952.87,0,0,19,18104.53,6836.01,954.26,Prod 1,Beauty,Kairo,593.08,935.77,4,0,15,4,2025,0.0,28.0,16.285714285714285,18.642857142857142,1
2025-04-12,1,953.24,0,1,0,0.0,0.0,953.84,Prod 1,Beauty,Kairo,593.08,935.77,5,1,15,4,2025,19.0,18.0,13.714285714285714,18.642857142857142,0
2025-04-13,1,952.16,0,0,14,13330.24,5027.12,953.4,Prod 1,Beauty,Kairo,593.08,935.77,6,1,15,4,2025,0.0,0.0,15.714285714285714,17.571428571428573,1
2025-04-14,1,953.6,0,0,25,23840.0,9013.0,954.81,Prod 1,Beauty,Kairo,593.08,935.77,0,0,16,4,2025,14.0,26.0,15.571428571428571,17.571428571428573,1
2025-04-15,1,954.63,0,1,0,0.0,0.0,953.42,Prod 1,Beauty,Kairo,593.08,935.77,1,0,16,4,2025,25.0,21.0,12.571428571428571,16.428571428571427,0
2025-04-16,1,953.2,0,0,25,23830.0,9003.0,953.21,Prod 1,Beauty,Kairo,593.08,935.77,2,0,16,4,2025,0.0,30.0,11.857142857142858,17.0,1
2025-04-17,1,954.07,0,0,20,19081.4,7219.8,955.39,Prod 1,Beauty,Kairo,593.08,935.77,3,0,16,4,2025,25.0,0.0,14.714285714285714,16.142857142857142,1
2025-04-18,1,953.9,0,0,22,20985.8,7938.04,957.57,Prod 1,Beauty,Kairo,593.08,935.77,4,0,16,4,2025,20.0,19.0,15.142857142857142,15.714285714285714,1
2025-04-19,1,953.76,0,0,15,14306.4,5410.2,958.86,Prod 1,Beauty,Kairo,593.08,935.77,5,1,16,4,2025,22.0,0.0,17.285714285714285,15.5,1
2025-04-20,1,954.66,0,0,21,20047.86,7593.18,958.17,Prod 1,Beauty,Kairo,593.08,935.77,6,1,16,4,2025,15.0,14.0,18.285714285714285,17.0,1
2025-04-21,1,953.47,0,0,18,17162.46,6487.02,955.66,Prod 1,Beauty,Kairo,593.08,935.77,0,0,17,4,2025,21.0,25.0,17.285714285714285,16.428571428571427,1
2025-04-22,1,953.98,0,0,20,19079.6,7218.0,956.21,Prod 1,Beauty,Kairo,593.08,935.77,1,0,17,4,2025,18.0,0.0,20.142857142857142,16.357142857142858,1
2025-04-23,1,955.91,0,0,23,21985.93,8345.09,959.24,Prod 1,Beauty,Kairo,593.08,935.77,2,0,17,4,2025,20.0,25.0,19.857142857142858,15.857142857142858,1
2025-04-24,1,955.94,0,0,20,19118.8,7257.2,956.49,Prod 1,Beauty,Kairo,593.08,935.77,3,0,17,4,2025,23.0,20.0,19.857142857142858,17.285714285714285,1
2025-04-25,1,956.95,1,0,44,42105.8,16010.28,956.66,Prod 1,Beauty,Kairo,593.08,935.77,4,0,17,4,2025,20.0,22.0,23.0,19.071428571428573,1
2025-04-26,1,957.79,0,0,30,28733.7,10941.3,957.05,Prod 1,Beauty,Kairo,593.08,935.77,5,1,17,4,2025,44.0,15.0,25.142857142857142,21.214285714285715,1
2025-04-27,1,958.06,0,0,23,22035.38,8394.54,956.73,Prod 1,Beauty,Kairo,593.08,935.77,6,1,17,4,2025,30.0,21.0,25.428571428571427,21.857142857142858,1
